speed	time
0	"2016-04-15 12:17:26,570"
0	"2016-04-15 12:17:27,588"
0	"2016-04-15 12:17:28,610"
0	"2016-04-15 12:17:29,569"
0	"2016-04-15 12:17:30,579"
0	"2016-04-15 12:17:31,581"
0	"2016-04-15 12:17:32,570"
0	"2016-04-15 12:17:33,576"
0	"2016-04-15 12:17:34,599"
0	"2016-04-15 12:17:35,587"
0	"2016-04-15 12:17:36,564"
0	"2016-04-15 12:17:37,608"
0	"2016-04-15 12:17:38,600"
0	"2016-04-15 12:17:39,601"
0	"2016-04-15 12:17:40,617"
0	"2016-04-15 12:17:41,600"
0	"2016-04-15 12:17:42,600"
0	"2016-04-15 12:17:43,587"
0	"2016-04-15 12:17:44,609"
0	"2016-04-15 12:17:45,591"
0	"2016-04-15 12:17:46,607"
0	"2016-04-15 12:17:47,611"
0	"2016-04-15 12:17:48,621"
0	"2016-04-15 12:17:49,644"
0	"2016-04-15 12:17:50,616"
0	"2016-04-15 12:17:51,652"
0	"2016-04-15 12:17:52,641"
0	"2016-04-15 12:17:53,670"
0	"2016-04-15 12:17:54,637"
0	"2016-04-15 12:17:55,649"
0	"2016-04-15 12:17:56,661"
0	"2016-04-15 12:17:57,641"
0	"2016-04-15 12:17:58,640"
0	"2016-04-15 12:17:59,659"
0	"2016-04-15 12:18:00,631"
0	"2016-04-15 12:18:01,640"
0	"2016-04-15 12:18:02,688"
0	"2016-04-15 12:18:03,652"
0	"2016-04-15 12:18:04,650"
0	"2016-04-15 12:18:05,642"
0	"2016-04-15 12:18:06,637"
0	"2016-04-15 12:18:07,648"
0	"2016-04-15 12:18:08,640"
0	"2016-04-15 12:18:09,641"
0	"2016-04-15 12:18:10,640"
0	"2016-04-15 12:18:11,648"
0	"2016-04-15 12:18:12,652"
0	"2016-04-15 12:18:13,640"
0	"2016-04-15 12:18:14,642"
0	"2016-04-15 12:18:15,649"
0	"2016-04-15 12:18:16,660"
0	"2016-04-15 12:18:17,671"
0	"2016-04-15 12:18:18,660"
0	"2016-04-15 12:18:19,734"
0	"2016-04-15 12:18:20,698"
0	"2016-04-15 12:18:21,701"
0	"2016-04-15 12:18:22,691"
0	"2016-04-15 12:18:23,732"
0	"2016-04-15 12:18:24,709"
0	"2016-04-15 12:18:25,701"
0	"2016-04-15 12:18:26,720"
0	"2016-04-15 12:18:27,743"
0	"2016-04-15 12:18:28,742"
0	"2016-04-15 12:18:29,741"
0	"2016-04-15 12:18:30,732"
0	"2016-04-15 12:18:31,749"
0	"2016-04-15 12:18:32,742"
0	"2016-04-15 12:18:33,772"
0	"2016-04-15 12:18:34,768"
0	"2016-04-15 12:18:35,750"
0	"2016-04-15 12:18:36,761"
0	"2016-04-15 12:18:37,738"
0	"2016-04-15 12:18:38,740"
0	"2016-04-15 12:18:39,779"
